순번,접수구분,관리번호,구청,가로명,구간,위도,경도
1,일상점검,4052014,남구,대명남로,대덕네거리 - 남명삼거리,35.83552981,128.5764618
2,일상점검,4052018,남구,대명남로,대덕네거리 - 남명삼거리,35.83548014,128.5779349
3,일상점검,6117013,수성구,범물택지,용지네거리 - 관계삼거리,35.81827072,128.648039
4,일상점검,4052019,남구,대명남로,대덕네거리 - 남명삼거리,35.83546592,128.5783332
5,일상점검,4052020,남구,대명남로,대덕네거리 - 남명삼거리,35.83545452,128.5786019
6,일상점검,4103017,남구,앞산순환로,현충삼거리 - 대덕식당,35.83259961,128.579777
7,일상점검,6369066,수성구,범안로,용지네거리 - KT범물지점,35.81739811,128.6383548
8,일상점검,6130004,수성구,지산택지,지산1동사무소 - 청산맨션,35.82507432,128.6356042
9,일상점검,6132009,수성구,지산택지,지산1동주민센터 - 경찰청,35.82671656,128.6359289
10,일상점검,6162004,수성구,지범로,지산네거리 - 한샘교회,35.82665911,128.6287146
11,일상점검,6161013,수성구,지범로,한샘교회 - 두산오거리,35.82770731,128.6255544
12,일상점검,6273008,수성구,무학로,들안길삼거리 - 두산오거리,35.82960399,128.6190183
13,일상점검,6084017,수성구,들안로,들안길네거리 - 수성시장남편네거리,35.84983753,128.616892
14,일상점검,6233015,수성구,들안로,들안길네거리 - 들안길삼거리,35.83133652,128.6166122
15,일상점검,6096003,수성구,신천동로,동일하이빌 - 상동네거리,35.83004035,128.6079599
16,일상점검,6215017,수성구,신천동로,경산한방병원 - 중동교,35.83869442,128.6072801
17,일상점검,6217002,수성구,신천동로,중동맨션 - 희망교,35.84503749,128.6078414
18,일상점검,7093020,달서구,구마로,세강병원 - 동본리네거리,35.83740034,128.5453193
19,일상점검,6182001,수성구,달구벌대로,수성네거리 - 수성교,35.859763,128.6184762
20,일상점검,6040012,수성구,달구벌대로,수성네거리 - 범어교,35.85925696,128.6215191
21,일상점검,6182008,수성구,달구벌대로,수성네거리 - 수성교,35.85986913,128.6158886
22,일상점검,6051016,수성구,달구벌대로,고산초교 - 경북아파트,35.84227623,128.6980836
